,Country,City,Population,Latitude,Longitude,Company,Type
88,Australia,Brisbane,2514184.0,-27.469354000000003,153.0276178756904,Cartier,Luxury
89,United Arab Emirates,Dubai,2502715.0,14.6782621,121.0456235,Cartier,Luxury
90,India,Mirzāpur,2496970.0,14.6782621,121.0456235,Cartier,Luxury
91,Brazil,Fortaleza,2452185.0,-3.7240215,-38.665388365166145,Cartier,Luxury
92,Guatemala,Guatemala City,2450212.0,45.1712948,28.798566604419108,Cartier,Luxury
93,India,Nāgpur,2405665.0,14.6782621,121.0456235,Cartier,Luxury
94,Indonesia,Bekasi,2381053.0,14.6782621,121.0456235,Cartier,Luxury
95,India,Ghāziābād,2381452.0,14.6782621,121.0456235,Cartier,Luxury
96,Ghana,Accra,2291352.0,14.6782621,121.0456235,Cartier,Luxury
97,Canada,Vancouver,2264823.0,49.2854788,-123.11534,Cartier,Luxury
98,Indonesia,Tangerang,2237006.0,14.6782621,121.0456235,Cartier,Luxury
99,Turkey,Konya,2232374.0,14.6782621,121.0456235,Cartier,Luxury
100,United States,Queens,2230722.0,19.2948493,-81.3821986,Cartier,Luxury
