,Country,City,Population,Latitude,Longitude,Company,Type
67,Poland,Kraków,766739.0,50.067096649999996,19.945989028141405,MAC Cosmetics,Cosmetic
68,United States,Albuquerque,761195.0,35.1032491,-106.5667888,MAC Cosmetics,Cosmetic
69,United States,Birmingham,739573.0,35.220705,-80.9421255,MAC Cosmetics,Cosmetic
70,Canada,Mississauga,721599.0,43.5932029,-79.6426162,MAC Cosmetics,Cosmetic
71,Canada,Hamilton,693645.0,43.2179497,-79.8615457,MAC Cosmetics,Cosmetic
72,Netherlands,Rotterdam,631155.0,51.9187561,4.4778509,MAC Cosmetics,Cosmetic
73,Guatemala,Villa Nueva,618397.0,19.2994914,-99.1367632,MAC Cosmetics,Cosmetic
74,Philippines,General Santos,594446.0,16.4097856,120.5992661,MAC Cosmetics,Cosmetic
75,Canada,Brampton,593638.0,43.7159542,-79.7230283,MAC Cosmetics,Cosmetic
76,Germany,Dortmund,587010.0,51.5132022,7.4595656,MAC Cosmetics,Cosmetic
77,China,Fu’an,577000.0,45.7596368,4.8340966,MAC Cosmetics,Cosmetic
78,Venezuela,Ciudad Bolívar,567953.0,19.2994914,-99.1367632,MAC Cosmetics,Cosmetic
79,United States,Columbia,560041.0,49.2825304,-123.122212,MAC Cosmetics,Cosmetic
80,Spain,Palma,550000.0,16.4097856,120.5992661,MAC Cosmetics,Cosmetic
81,France,Lyon,516092.0,45.7596368,4.8340966,MAC Cosmetics,Cosmetic
82,United States,Mesa,518012.0,33.6907036,-117.8899233,MAC Cosmetics,Cosmetic
83,Canada,Surrey,517887.0,49.1900923,-122.8042388,MAC Cosmetics,Cosmetic
84,Vietnam,Vinh,490000.0,40.7765167,-73.8539947,MAC Cosmetics,Cosmetic
85,United States,Staten Island,476143.0,40.5815088,-74.1655987129158,MAC Cosmetics,Cosmetic
86,Poland,Gdańsk,464254.0,54.3488089,18.6440798,MAC Cosmetics,Cosmetic
87,United States,Reno,445020.0,50.938448,6.9430532,MAC Cosmetics,Cosmetic
88,Brazil,Santos,433966.0,16.4097856,120.5992661,MAC Cosmetics,Cosmetic
89,United States,Oakland,433031.0,42.562983700000004,-83.18372628005915,MAC Cosmetics,Cosmetic
90,United States,Durham,424700.0,43.8915384,-78.8805117,MAC Cosmetics,Cosmetic
91,Philippines,Angeles City,411634.0,33.94680945,-118.40145329726883,MAC Cosmetics,Cosmetic
92,United States,Lancaster,401524.0,40.0674875,-76.3396096,MAC Cosmetics,Cosmetic
93,Saudi Arabia,Ḩā’il,385257.0,48.8591926,2.345738,MAC Cosmetics,Cosmetic
94,Canada,London,383822.0,51.5431765,-0.0072922,MAC Cosmetics,Cosmetic
95,Colombia,Pasto,382236.0,52.916831650000006,-1.4737038518918153,MAC Cosmetics,Cosmetic
96,Serbia,Novi Sad,380000.0,42.4923414,-83.468594496295,MAC Cosmetics,Cosmetic
97,Chile,La Florida,366916.0,28.4461206,-81.3954232,MAC Cosmetics,Cosmetic
98,Germany,Bochum,364628.0,51.4946254,7.2810396,MAC Cosmetics,Cosmetic
99,Philippines,Baguio City,345366.0,16.4097856,120.5992661,MAC Cosmetics,Cosmetic
100,United States,Lancaster,343304.0,40.0674875,-76.3396096,MAC Cosmetics,Cosmetic
